2D_X_hip,2D_Y_hip,2D_vis_hip,2D_X_abdomen,2D_Y_abdomen,2D_vis_abdomen,2D_X_chest,2D_Y_chest,2D_vis_chest,2D_X_neck,2D_Y_neck,2D_vis_neck,2D_X_head,2D_Y_head,2D_vis_head,2D_X_lefteye,2D_Y_lefteye,2D_vis_lefteye,2D_X_es_lefteye,2D_Y_es_lefteye,2D_vis_es_lefteye,2D_X_righteye,2D_Y_righteye,2D_vis_righteye,2D_X_es_righteye,2D_Y_es_righteye,2D_vis_es_righteye,2D_X_rcollar,2D_Y_rcollar,2D_vis_rcollar,2D_X_rshoulder,2D_Y_rshoulder,2D_vis_rshoulder,2D_X_relbow,2D_Y_relbow,2D_vis_relbow,2D_X_rhand,2D_Y_rhand,2D_vis_rhand,2D_X_rthumb1,2D_Y_rthumb1,2D_vis_rthumb1,2D_X_rthumb2,2D_Y_rthumb2,2D_vis_rthumb2,2D_X_es_rthumb2,2D_Y_es_rthumb2,2D_vis_es_rthumb2,2D_X_rindex1,2D_Y_rindex1,2D_vis_rindex1,2D_X_rindex2,2D_Y_rindex2,2D_vis_rindex2,2D_X_es_rindex2,2D_Y_es_rindex2,2D_vis_es_rindex2,2D_X_rmid1,2D_Y_rmid1,2D_vis_rmid1,2D_X_rmid2,2D_Y_rmid2,2D_vis_rmid2,2D_X_es_rmid2,2D_Y_es_rmid2,2D_vis_es_rmid2,2D_X_rring1,2D_Y_rring1,2D_vis_rring1,2D_X_rring2,2D_Y_rring2,2D_vis_rring2,2D_X_es_rring2,2D_Y_es_rring2,2D_vis_es_rring2,2D_X_rpinky1,2D_Y_rpinky1,2D_vis_rpinky1,2D_X_rpinky2,2D_Y_rpinky2,2D_vis_rpinky2,2D_X_es_rpinky2,2D_Y_es_rpinky2,2D_vis_es_rpinky2,2D_X_lcollar,2D_Y_lcollar,2D_vis_lcollar,2D_X_lshoulder,2D_Y_lshoulder,2D_vis_lshoulder,2D_X_lelbow,2D_Y_lelbow,2D_vis_lelbow,2D_X_lhand,2D_Y_lhand,2D_vis_lhand,2D_X_lthumb1,2D_Y_lthumb1,2D_vis_lthumb1,2D_X_lthumb2,2D_Y_lthumb2,2D_vis_lthumb2,2D_X_es_lthumb2,2D_Y_es_lthumb2,2D_vis_es_lthumb2,2D_X_lindex1,2D_Y_lindex1,2D_vis_lindex1,2D_X_lindex2,2D_Y_lindex2,2D_vis_lindex2,2D_X_es_lindex2,2D_Y_es_lindex2,2D_vis_es_lindex2,2D_X_lmid1,2D_Y_lmid1,2D_vis_lmid1,2D_X_lmid2,2D_Y_lmid2,2D_vis_lmid2,2D_X_es_lmid2,2D_Y_es_lmid2,2D_vis_es_lmid2,2D_X_lring1,2D_Y_lring1,2D_vis_lring1,2D_X_lring2,2D_Y_lring2,2D_vis_lring2,2D_X_es_lring2,2D_Y_es_lring2,2D_vis_es_lring2,2D_X_lpinky1,2D_Y_lpinky1,2D_vis_lpinky1,2D_X_lpinky2,2D_Y_lpinky2,2D_vis_lpinky2,2D_X_es_lpinky2,2D_Y_es_lpinky2,2D_vis_es_lpinky2,2D_X_rbuttock,2D_Y_rbuttock,2D_vis_rbuttock,2D_X_rhip,2D_Y_rhip,2D_vis_rhip,2D_X_rknee,2D_Y_rknee,2D_vis_rknee,2D_X_rfoot,2D_Y_rfoot,2D_vis_rfoot,2D_X_es_rfoot,2D_Y_es_rfoot,2D_vis_es_rfoot,2D_X_lbuttock,2D_Y_lbuttock,2D_vis_lbuttock,2D_X_lhip,2D_Y_lhip,2D_vis_lhip,2D_X_lknee,2D_Y_lknee,2D_vis_lknee,2D_X_lfoot,2D_Y_lfoot,2D_vis_lfoot,2D_X_es_lfoot,2D_Y_es_lfoot,2D_vis_es_lfoot
0.533708,0.429697,1.0,0.524493,0.291710,1.0,0.527565,0.337706,1.0,0.521422,0.245714,1.0,0.481595,0.182957,1.0,0.484651,0.166721,1.0,0.484651,0.166721,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.533719,0.243021,1.0,0.546016,0.240328,1.0,0.575135,0.332943,1.0,0.582786,0.297589,1.0,0.600422,0.291371,1.0,0.591005,0.290204,1.0,0.577432,0.287480,1.0,0.592323,0.283976,1.0,0.578745,0.325234,1.0,0.582250,0.321343,1.0,0.579844,0.318618,1.0,0.578307,0.325624,1.0,0.580063,0.318618,1.0,0.579401,0.317839,1.0,0.578089,0.325624,1.0,0.579401,0.314336,1.0,0.578526,0.302270,1.0,0.581594,0.306162,1.0,0.580938,0.307330,1.0,0.508418,0.247102,1.0,0.495415,0.248491,1.0,0.506156,0.360124,1.0,0.458677,0.360291,1.0,0.449553,0.359099,1.0,0.446515,0.354944,1.0,0.438569,0.357437,1.0,0.447683,0.355360,1.0,0.439270,0.358268,1.0,0.439504,0.361593,1.0,0.445580,0.365332,1.0,0.440439,0.362423,1.0,0.437167,0.366994,1.0,0.446281,0.365332,1.0,0.439504,0.367408,1.0,0.438803,0.368240,1.0,0.439504,0.358268,1.0,0.438335,0.355360,1.0,0.437868,0.359099,1.0,0.555135,0.425639,1.0,0.555135,0.425639,1.0,0.558292,0.600002,1.0,0.568917,0.749819,1.0,0.568917,0.749819,1.0,0.512280,0.433756,1.0,0.512280,0.433756,1.0,0.533656,0.605463,1.0,0.544490,0.768928,1.0,0.544490,0.768928,1.0
0.533734,0.443309,1.0,0.524539,0.297082,1.0,0.527604,0.345825,1.0,0.521474,0.248340,1.0,0.483084,0.183039,1.0,0.484648,0.169425,1.0,0.484648,0.169425,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.534513,0.244311,1.0,0.547552,0.240282,1.0,0.579745,0.338364,1.0,0.595010,0.302975,1.0,0.589271,0.322957,1.0,0.593958,0.287964,1.0,0.594193,0.302961,1.0,0.605437,0.292130,1.0,0.594896,0.285881,1.0,0.593724,0.296712,1.0,0.606141,0.290047,1.0,0.600516,0.287964,1.0,0.599813,0.298795,1.0,0.604969,0.288381,1.0,0.600047,0.286297,1.0,0.601453,0.297962,1.0,0.603328,0.286714,1.0,0.592083,0.283798,1.0,0.603328,0.289214,1.0,0.508422,0.249761,1.0,0.495371,0.251182,1.0,0.496910,0.362991,1.0,0.447826,0.362875,1.0,0.436706,0.364068,1.0,0.430244,0.360375,1.0,0.421705,0.364888,1.0,0.433706,0.369812,1.0,0.421705,0.367760,1.0,0.425628,0.371043,1.0,0.432552,0.371453,1.0,0.421243,0.371863,1.0,0.419166,0.382531,1.0,0.433475,0.371043,1.0,0.421012,0.368991,1.0,0.419858,0.375145,1.0,0.420781,0.367350,1.0,0.421935,0.363657,1.0,0.421705,0.370222,1.0,0.555193,0.439194,1.0,0.555193,0.439194,1.0,0.561297,0.600114,1.0,0.568891,0.752716,1.0,0.568891,0.752716,1.0,0.512276,0.447425,1.0,0.512276,0.447425,1.0,0.533755,0.605479,1.0,0.544448,0.760812,1.0,0.544448,0.760812,1.0
0.532209,0.446067,1.0,0.524123,0.299888,1.0,0.526818,0.348614,1.0,0.521427,0.251162,1.0,0.510750,0.181697,1.0,0.484742,0.180294,1.0,0.484742,0.180294,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.535247,0.249748,1.0,0.549068,0.248334,1.0,0.581182,0.341144,1.0,0.605714,0.305643,1.0,0.606167,0.291929,1.0,0.606844,0.286333,1.0,0.619208,0.285933,1.0,0.614714,0.301922,1.0,0.615609,0.303920,1.0,0.619885,0.283934,1.0,0.614714,0.299923,1.0,0.614484,0.302721,1.0,0.612687,0.304720,1.0,0.615161,0.295527,1.0,0.616510,0.301123,1.0,0.611115,0.307918,1.0,0.615833,0.295127,1.0,0.617859,0.301522,1.0,0.620333,0.282336,1.0,0.506889,0.253920,1.0,0.492351,0.256679,1.0,0.487777,0.371044,1.0,0.435553,0.371130,1.0,0.426600,0.366111,1.0,0.419266,0.362325,1.0,0.410039,0.369476,1.0,0.419503,0.382935,1.0,0.407909,0.373261,1.0,0.410748,0.372420,1.0,0.418556,0.389665,1.0,0.407673,0.380832,1.0,0.410512,0.375364,1.0,0.417373,0.393030,1.0,0.408383,0.382515,1.0,0.411931,0.379150,1.0,0.415954,0.393030,1.0,0.410985,0.386720,1.0,0.412641,0.382094,1.0,0.555146,0.441980,1.0,0.555146,0.441980,1.0,0.562880,0.602723,1.0,0.567448,0.755377,1.0,0.567448,0.755377,1.0,0.509272,0.450154,1.0,0.509272,0.450154,1.0,0.533792,0.610932,1.0,0.544484,0.766281,1.0,0.544484,0.766281,1.0
0.529931,0.446020,1.0,0.522450,0.302022,1.0,0.524944,0.350022,1.0,0.519956,0.254023,1.0,0.513038,0.184497,1.0,0.484709,0.183139,1.0,0.484709,0.183139,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.535262,0.252590,1.0,0.550568,0.251156,1.0,0.573604,0.354717,1.0,0.613417,0.313708,1.0,0.614141,0.294047,1.0,0.615063,0.291595,1.0,0.615063,0.291595,1.0,0.614599,0.292005,1.0,0.611385,0.302626,1.0,0.611844,0.312023,1.0,0.624714,0.303852,1.0,0.626094,0.305078,1.0,0.627010,0.305078,1.0,0.627932,0.295681,1.0,0.629078,0.299767,1.0,0.630458,0.292413,1.0,0.624021,0.291595,1.0,0.625859,0.287510,1.0,0.629307,0.284651,1.0,0.503845,0.260746,1.0,0.487734,0.267469,1.0,0.483107,0.373767,1.0,0.424905,0.379210,1.0,0.418290,0.371716,1.0,0.410688,0.370026,1.0,0.401422,0.376783,1.0,0.410688,0.388186,1.0,0.400947,0.388609,1.0,0.402848,0.381430,1.0,0.412351,0.396211,1.0,0.400947,0.389454,1.0,0.404511,0.385653,1.0,0.412826,0.400012,1.0,0.403560,0.395789,1.0,0.406174,0.389454,1.0,0.412826,0.401701,1.0,0.406649,0.398744,1.0,0.408312,0.394099,1.0,0.550604,0.441940,1.0,0.550604,0.441940,1.0,0.565906,0.602700,1.0,0.567401,0.752653,1.0,0.567401,0.752653,1.0,0.509259,0.450100,1.0,0.509259,0.450100,1.0,0.533745,0.613643,1.0,0.544464,0.760820,1.0,0.544464,0.760820,1.0
0.529931,0.446020,1.0,0.522450,0.302022,1.0,0.524944,0.350022,1.0,0.519956,0.254023,1.0,0.513038,0.184497,1.0,0.484709,0.183139,1.0,0.484709,0.183139,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.535262,0.252590,1.0,0.550568,0.251156,1.0,0.573604,0.354717,1.0,0.613417,0.313708,1.0,0.614141,0.294047,1.0,0.615063,0.291595,1.0,0.615063,0.291595,1.0,0.614599,0.292005,1.0,0.611385,0.302626,1.0,0.611844,0.312023,1.0,0.624714,0.303852,1.0,0.626094,0.305078,1.0,0.627010,0.305078,1.0,0.627932,0.295681,1.0,0.629078,0.299767,1.0,0.630458,0.292413,1.0,0.624021,0.291595,1.0,0.625859,0.287510,1.0,0.629307,0.284651,1.0,0.503845,0.260746,1.0,0.487734,0.267469,1.0,0.483107,0.373767,1.0,0.424905,0.379210,1.0,0.418290,0.371716,1.0,0.410688,0.370026,1.0,0.401422,0.376783,1.0,0.410688,0.388186,1.0,0.400947,0.388609,1.0,0.402848,0.381430,1.0,0.412351,0.396211,1.0,0.400947,0.389454,1.0,0.404511,0.385653,1.0,0.412826,0.400012,1.0,0.403560,0.395789,1.0,0.406174,0.389454,1.0,0.412826,0.401701,1.0,0.406649,0.398744,1.0,0.408312,0.394099,1.0,0.550604,0.441940,1.0,0.550604,0.441940,1.0,0.565906,0.602700,1.0,0.567401,0.752653,1.0,0.567401,0.752653,1.0,0.509259,0.450100,1.0,0.509259,0.450100,1.0,0.533745,0.613643,1.0,0.544464,0.760820,1.0,0.544464,0.760820,1.0
0.527566,0.448753,1.0,0.519552,0.308734,1.0,0.522223,0.355407,1.0,0.516880,0.262061,1.0,0.513047,0.187125,1.0,0.489296,0.185671,1.0,0.489296,0.185671,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.531404,0.258006,1.0,0.545927,0.253952,1.0,0.567422,0.354636,1.0,0.616490,0.313738,1.0,0.612234,0.305377,1.0,0.617568,0.295500,1.0,0.624234,0.291550,1.0,0.619568,0.291944,1.0,0.628901,0.286019,1.0,0.634682,0.282068,1.0,0.624234,0.295895,1.0,0.631349,0.290759,1.0,0.636901,0.287599,1.0,0.626458,0.303007,1.0,0.633125,0.295500,1.0,0.637125,0.291944,1.0,0.629568,0.310513,1.0,0.635349,0.301821,1.0,0.637568,0.298661,1.0,0.501547,0.266085,1.0,0.486214,0.270109,1.0,0.474004,0.371125,1.0,0.423431,0.379351,1.0,0.418042,0.374864,1.0,0.409940,0.374106,1.0,0.402051,0.380549,1.0,0.409300,0.391162,1.0,0.399280,0.392679,1.0,0.400345,0.385098,1.0,0.409727,0.400259,1.0,0.399493,0.393436,1.0,0.403330,0.389646,1.0,0.411006,0.404807,1.0,0.402691,0.398743,1.0,0.404823,0.392679,1.0,0.412072,0.405187,1.0,0.405889,0.401018,1.0,0.406955,0.396848,1.0,0.545990,0.444645,1.0,0.545990,0.444645,1.0,0.565880,0.600062,1.0,0.565896,0.755356,1.0,0.565896,0.755356,1.0,0.509143,0.452861,1.0,0.509143,0.452861,1.0,0.533693,0.616317,1.0,0.544406,0.766242,1.0,0.544406,0.766242,1.0
0.518392,0.447374,1.0,0.519548,0.304371,1.0,0.519163,0.352038,1.0,0.519934,0.256703,1.0,0.520665,0.183047,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.532954,0.255355,1.0,0.545974,0.254006,1.0,0.550573,0.343885,1.0,0.607250,0.311136,1.0,0.608948,0.301193,1.0,0.615505,0.288669,1.0,0.622792,0.286079,1.0,0.619391,0.284783,1.0,0.626922,0.280896,1.0,0.631536,0.277874,1.0,0.622307,0.292124,1.0,0.630568,0.288238,1.0,0.635182,0.286510,1.0,0.623521,0.301625,1.0,0.630807,0.298170,1.0,0.634937,0.296874,1.0,0.623521,0.311989,1.0,0.630323,0.308966,1.0,0.632266,0.308534,1.0,0.506873,0.259374,1.0,0.493813,0.262045,1.0,0.472464,0.365608,1.0,0.429460,0.379379,1.0,0.420503,0.376234,1.0,0.412537,0.378662,1.0,0.405254,0.385541,1.0,0.410944,0.395252,1.0,0.403660,0.397680,1.0,0.405481,0.390801,1.0,0.413447,0.401726,1.0,0.405254,0.398894,1.0,0.407985,0.394847,1.0,0.415268,0.405368,1.0,0.408213,0.404154,1.0,0.409578,0.397680,1.0,0.416634,0.405368,1.0,0.412082,0.404154,1.0,0.411171,0.400107,1.0,0.536781,0.444589,1.0,0.536781,0.444589,1.0,0.561297,0.597313,1.0,0.558307,0.766273,1.0,0.558307,0.766273,1.0,0.500003,0.450158,1.0,0.500003,0.450158,1.0,0.532188,0.613575,1.0,0.538307,0.752710,1.0,0.538307,0.752710,1.0
0.513773,0.445977,1.0,0.517260,0.301894,1.0,0.516097,0.349921,1.0,0.518422,0.253866,1.0,0.522243,0.180343,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.529917,0.252513,1.0,0.541411,0.251160,1.0,0.533656,0.338481,1.0,0.591917,0.302935,1.0,0.591812,0.296115,1.0,0.599594,0.282278,1.0,0.607630,0.279154,1.0,0.603109,0.278260,1.0,0.611896,0.272011,1.0,0.616417,0.271119,1.0,0.606125,0.284956,1.0,0.614911,0.281385,1.0,0.620438,0.279600,1.0,0.607880,0.293883,1.0,0.615917,0.290758,1.0,0.620687,0.290758,1.0,0.608635,0.304150,1.0,0.615917,0.302364,1.0,0.617922,0.301471,1.0,0.506890,0.253923,1.0,0.495357,0.253981,1.0,0.473968,0.357509,1.0,0.435664,0.376464,1.0,0.427802,0.371795,1.0,0.417106,0.377864,1.0,0.411643,0.384743,1.0,0.422340,0.390811,1.0,0.411416,0.400117,1.0,0.410733,0.397690,1.0,0.425527,0.397690,1.0,0.414602,0.402949,1.0,0.410961,0.404163,1.0,0.424616,0.404163,1.0,0.417789,0.408209,1.0,0.411189,0.411446,1.0,0.425754,0.404163,1.0,0.419154,0.413064,1.0,0.415968,0.415896,1.0,0.530630,0.444591,1.0,0.530630,0.444591,1.0,0.556724,0.594482,1.0,0.556708,0.771679,1.0,0.556708,0.771679,1.0,0.496915,0.447363,1.0,0.496915,0.447363,1.0,0.527615,0.613608,1.0,0.533781,0.766218,1.0,0.533781,0.766218,1.0
0.507651,0.444701,1.0,0.515667,0.299491,1.0,0.512995,0.347894,1.0,0.518340,0.251087,1.0,0.524558,0.174881,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.544500,0.161273,1.0,0.544500,0.161273,1.0,0.526058,0.247064,1.0,0.533776,0.243041,1.0,0.516845,0.335795,1.0,0.567453,0.297563,1.0,0.570708,0.290126,1.0,0.577880,0.276180,1.0,0.585052,0.272594,1.0,0.581245,0.271398,1.0,0.589760,0.264624,1.0,0.595589,0.264225,1.0,0.583708,0.278570,1.0,0.592448,0.273391,1.0,0.599172,0.273789,1.0,0.585052,0.287337,1.0,0.592896,0.284149,1.0,0.598052,0.284946,1.0,0.586172,0.298494,1.0,0.593120,0.296104,1.0,0.595589,0.295705,1.0,0.507631,0.251202,1.0,0.496922,0.251318,1.0,0.477009,0.357375,1.0,0.447943,0.360245,1.0,0.436967,0.372677,1.0,0.433968,0.375958,1.0,0.445043,0.361192,1.0,0.443658,0.359962,1.0,0.443428,0.365704,1.0,0.441120,0.369806,1.0,0.434660,0.366114,1.0,0.441582,0.380470,1.0,0.443197,0.384982,1.0,0.436045,0.363243,1.0,0.441351,0.384982,1.0,0.441582,0.385393,1.0,0.433968,0.362422,1.0,0.433737,0.366114,1.0,0.441351,0.387444,1.0,0.521458,0.441975,1.0,0.521458,0.441975,1.0,0.552089,0.597350,1.0,0.553656,0.768951,1.0,0.553656,0.768951,1.0,0.493844,0.447427,1.0,0.493844,0.447427,1.0,0.524500,0.605482,1.0,0.530615,0.771725,1.0,0.530615,0.771725,1.0
0.503855,0.443272,1.0,0.515933,0.288981,1.0,0.511907,0.340412,1.0,0.519959,0.237551,1.0,0.524537,0.166732,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.547521,0.147656,1.0,0.547521,0.147656,1.0,0.524537,0.236179,1.0,0.529115,0.234806,1.0,0.498522,0.335768,1.0,0.545995,0.294882,1.0,0.549354,0.286439,1.0,0.554797,0.272977,1.0,0.560948,0.268769,1.0,0.556453,0.269611,1.0,0.564974,0.262459,1.0,0.570891,0.262039,1.0,0.558818,0.276343,1.0,0.568047,0.270453,1.0,0.575146,0.271294,1.0,0.560005,0.286019,1.0,0.567578,0.280970,1.0,0.573729,0.282232,1.0,0.560479,0.295694,1.0,0.568047,0.292749,1.0,0.571833,0.292749,1.0,0.515356,0.236189,1.0,0.510753,0.234828,1.0,0.486226,0.335642,1.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.000000,0.000000,0.0,0.512260,0.441914,1.0,0.512260,0.441914,1.0,0.546042,0.599946,1.0,0.545948,0.771711,1.0,0.545948,0.771711,1.0,0.495449,0.444631,1.0,0.495449,0.444631,1.0,0.526047,0.608169,1.0,0.518346,0.766256,1.0,0.518346,0.766256,1.0
