Label,OpenPoseFaceID(89),MediaPipe Face Keypoint ID (486)
head_rchin_0,0,447
head_rchin_1,1,323
head_rchin_2,2,361
head_rchin_3,3,288
head_rchin_4,4,397
head_rchin_5,5,379
head_rchin_6,6,378
head_rchin_7,7,377
head_chin,8,152
head_lchin_7,9,148
head_lchin_6,10,149
head_lchin_5,11,150
head_lchin_4,12,172
head_lchin_3,13,58
head_lchin_2,14,213
head_lchin_1,15,137
head_lchin_0,16,227
head_reyebrow_0,17,383
head_reyebrow_1,18,283
head_reyebrow_2,19,282
head_reyebrow_3,20,295
head_reyebrow_4,21,285
head_leyebrow_4,22,55
head_leyebrow_3,23,65
head_leyebrow_2,24,52
head_leyebrow_1,25,53
head_leyebrow_0,26,156
head_nosebone_0,27,6
head_nosebone_1,28,197
head_nosebone_2,29,5
head_nosebone_3,30,4
head_nostrills_0,31,327
head_nostrills_1,32,326
head_nostrills_2,33,2
head_nostrills_3,34,97
head_nostrills_4,35,240
head_reye_0,36,466
head_reye_1,37,387
head_reye_2,38,385
head_reye_3,39,465
head_reye_4,40,380
head_reye_5,41,390
head_leye_0,42,155
head_leye_1,43,158
head_leye_2,44,160
head_leye_3,45,33
head_leye_4,46,144
head_leye_5,47,153
head_outmouth_0,48,291
head_outmouth_1,49,269
head_outmouth_2,50,267
head_outmouth_3,51,11
head_outmouth_4,52,37
head_outmouth_5,53,73
head_outmouth_6,54,185
head_outmouth_7,55,180
head_outmouth_8,56,84
head_outmouth_9,57,17
head_outmouth_10,58,314
head_outmouth_11,59,405
head_inmouth_0,60,324
head_inmouth_1,61,312
head_inmouth_2,62,13
head_inmouth_3,63,82
head_inmouth_4,64,183
head_inmouth_5,65,87
head_inmouth_6,66,14
head_inmouth_7,67,317
head_reye,68,Part of IRIS Model
head_leye,69,Part of IRIS Model
